bbcid,system,summary,is_factual,worker_id
29911712,BERTS2S,more than 50 pupils at a bristol academy have been sent home from school because of a lack of uniform.,no,wid_0
29911712,BERTS2S,more than 50 pupils at a bristol academy have been sent home from school because of a lack of uniform.,no,wid_1
29911712,BERTS2S,more than 50 pupils at a bristol academy have been sent home from school because of a lack of uniform.,no,wid_2
38505171,BERTS2S,the wife of a british-iranian woman jailed in iran has called on the government to appeal against her conviction.,no,wid_0
38505171,BERTS2S,the wife of a british-iranian woman jailed in iran has called on the government to appeal against her conviction.,no,wid_1
38505171,BERTS2S,the wife of a british-iranian woman jailed in iran has called on the government to appeal against her conviction.,no,wid_2
38156376,BERTS2S,police searching for a greenock woman who has been missing for more than a decade have launched a fresh search for her.,no,wid_0
38156376,BERTS2S,police searching for a greenock woman who has been missing for more than a decade have launched a fresh search for her.,no,wid_1
38156376,BERTS2S,police searching for a greenock woman who has been missing for more than a decade have launched a fresh search for her.,no,wid_2
27838706,BERTS2S,aberdeen have appointed arbroath boss paul sheerin as their new manager.,yes,wid_0
27838706,BERTS2S,aberdeen have appointed arbroath boss paul sheerin as their new manager.,yes,wid_1
27838706,BERTS2S,aberdeen have appointed arbroath boss paul sheerin as their new manager.,no,wid_2
37554205,BERTS2S,a six-year-old girl from cheshire who was given a rare form of leukaemia by her parents has had a life-changing trial in,no,wid_0
37554205,BERTS2S,a six-year-old girl from cheshire who was given a rare form of leukaemia by her parents has had a life-changing trial in,no,wid_1
37554205,BERTS2S,a six-year-old girl from cheshire who was given a rare form of leukaemia by her parents has had a life-changing trial in,no,wid_2
40764446,BERTS2S,"a kenyan police officer has been shot dead by a gunman who broke into his farm home, police say.",no,wid_0
40764446,BERTS2S,"a kenyan police officer has been shot dead by a gunman who broke into his farm home, police say.",no,wid_1
40764446,BERTS2S,"a kenyan police officer has been shot dead by a gunman who broke into his farm home, police say.",no,wid_2
11154244,BERTS2S,"one in five parents in england eat vegetables at home, a survey suggests.",no,wid_0
11154244,BERTS2S,"one in five parents in england eat vegetables at home, a survey suggests.",no,wid_1
11154244,BERTS2S,"one in five parents in england eat vegetables at home, a survey suggests.",no,wid_2
